150
0	0	0
1	1	0
2	2	0
3	3	0
4	4	0
5	5	0
6	6	0
7	7	0
8	8	0
9	9	0
10	0	1
11	1	1
12	2	1
13	3	1
14	4	1
15	5	1
16	6	1
17	7	1
18	8	1
19	9	1
20	0	2
21	1	2
22	2	2
23	3	2
24	4	2
25	5	2
26	6	2
27	7	2
28	8	2
29	9	2
30	0	3
31	1	3
32	2	3
33	3	3
34	4	3
35	5	3
36	6	3
37	7	3
38	8	3
39	9	3
40	0	4
41	1	4
42	2	4
43	3	4
44	4	4
45	5	4
46	6	4
47	7	4
48	8	4
49	9	4
50	0	5
51	1	5
52	2	5
53	3	5
54	4	5
55	5	5
56	6	5
57	7	5
58	8	5
59	9	5
60	0	6
61	1	6
62	2	6
63	3	6
64	4	6
65	5	6
66	6	6
67	7	6
68	8	6
69	9	6
70	0	7
71	1	7
72	2	7
73	3	7
74	4	7
75	5	7
76	6	7
77	7	7
78	8	7
79	9	7
80	0	8
81	1	8
82	2	8
83	3	8
84	4	8
85	5	8
86	6	8
87	7	8
88	8	8
89	9	8
90	0	9
91	1	9
92	2	9
93	3	9
94	4	9
95	5	9
96	6	9
97	7	9
98	8	9
99	9	9
100	0	10
101	1	10
102	2	10
103	3	10
104	4	10
105	5	10
106	6	10
107	7	10
108	8	10
109	9	10
110	0	11
111	1	11
112	2	11
113	3	11
114	4	11
115	5	11
116	6	11
117	7	11
118	8	11
119	9	11
120	0	12
121	1	12
122	2	12
123	3	12
124	4	12
125	5	12
126	6	12
127	7	12
128	8	12
129	9	12
130	0	13
131	1	13
132	2	13
133	3	13
134	4	13
135	5	13
136	6	13
137	7	13
138	8	13
139	9	13
140	0	14
141	1	14
142	2	14
143	3	14
144	4	14
145	5	14
146	6	14
147	7	14
148	8	14
149	9	14
